date,mode,matchId,legId,player,attemptedScore,scoredPoints,dartsUsed,isCheckout,target,hit,segment,multiplier,value
2026-07-18T10:44:59.365Z,clock,26,,Ant,,,,,7,false,,,
2026-07-18T10:44:59.568Z,clock,26,,Ant,,,,,7,false,,,
2026-07-18T10:45:16.271Z,clock,26,,Ant,,,,,7,false,,,
2026-07-18T10:45:16.937Z,clock,26,,Ant,,,,,7,true,,,
2026-07-18T10:45:17.588Z,clock,26,,Ant,,,,,8,true,,,
2026-07-18T10:45:31.529Z,clock,26,,Ant,,,,,9,false,,,
2026-07-18T10:45:31.805Z,clock,26,,Ant,,,,,9,true,,,
2026-07-18T10:45:32.090Z,clock,26,,Ant,,,,,10,false,,,
2026-07-18T10:45:48.576Z,clock,26,,Ant,,,,,10,true,,,
2026-07-18T10:45:48.824Z,clock,26,,Ant,,,,,11,true,,,
2026-07-18T10:45:49.126Z,clock,26,,Ant,,,,,12,false,,,
2026-07-18T10:46:06.121Z,clock,26,,Ant,,,,,12,true,,,
2026-07-18T10:46:06.703Z,clock,26,,Ant,,,,,13,false,,,
2026-07-18T10:46:07.018Z,clock,26,,Ant,,,,,13,false,,,
2026-07-18T10:46:21.293Z,clock,26,,Ant,,,,,13,false,,,
2026-07-18T10:46:21.888Z,clock,26,,Ant,,,,,13,true,,,
2026-07-18T10:46:22.237Z,clock,26,,Ant,,,,,14,true,,,
2026-07-18T10:46:36.708Z,clock,26,,Ant,,,,,15,true,,,
2026-07-18T10:46:37.558Z,clock,26,,Ant,,,,,16,false,,,
2026-07-18T10:46:43.040Z,clock,26,,Ant,,,,,16,true,,,
2026-07-18T10:46:57.062Z,clock,26,,Ant,,,,,17,false,,,
2026-07-18T10:46:57.592Z,clock,26,,Ant,,,,,17,true,,,
2026-07-18T10:46:59.029Z,clock,26,,Ant,,,,,18,true,,,
2026-07-18T10:47:12.781Z,clock,26,,Ant,,,,,19,false,,,
2026-07-18T10:47:13.212Z,clock,26,,Ant,,,,,19,true,,,
2026-07-18T10:47:13.614Z,clock,26,,Ant,,,,,20,false,,,
2026-07-18T10:47:28.145Z,clock,26,,Ant,,,,,20,false,,,
2026-07-18T10:47:28.646Z,clock,26,,Ant,,,,,20,false,,,
2026-07-18T10:47:29.043Z,clock,26,,Ant,,,,,20,false,,,
2026-07-18T10:47:42.431Z,clock,26,,Ant,,,,,20,false,,,
2026-07-18T10:47:43.063Z,clock,26,,Ant,,,,,20,true,,,
2026-07-18T10:47:43.564Z,clock,26,,Ant,,,,,25,false,,,
2026-07-18T10:47:57.567Z,clock,26,,Ant,,,,,25,false,,,
2026-07-18T10:47:57.912Z,clock,26,,Ant,,,,,25,false,,,
2026-07-18T10:47:58.197Z,clock,26,,Ant,,,,,25,false,,,
2026-07-18T10:48:07.916Z,clock,26,,Ant,,,,,25,true,,,
2026-07-18T10:51:59.212Z,clock,27,,Ant,,,,,1,false,,,
2026-07-18T10:51:59.487Z,clock,27,,Ant,,,,,1,false,,,
2026-07-18T10:51:59.956Z,clock,27,,Ant,,,,,1,true,,,
2026-07-18T10:52:14.642Z,clock,27,,Ant,,,,,2,false,,,
2026-07-18T10:52:14.973Z,clock,27,,Ant,,,,,2,false,,,
2026-07-18T10:52:15.309Z,clock,27,,Ant,,,,,2,true,,,
